Trophy Category,Image URL,Title,Description
Platinum Trophy Guide,../Data/Images/trophy_images/Platinum.jpg,Every Last One of Them,Collect all trophies
Gold Trophies Guide,../Data/Images/trophy_images/Gold.jpg,What I Had to Do,Complete the story
Gold Trophies Guide,../Data/Images/trophy_images/Gold.jpg,Survival Expert,Learn all player upgrades
Gold Trophies Guide,../Data/Images/trophy_images/Gold.jpg,Arms Master,Fully upgrade all weapons
Gold Trophies Guide,../Data/Images/trophy_images/Gold.jpg,Archivist,Find all artifacts and journal entries
Gold Trophies Guide,../Data/Images/trophy_images/Gold.jpg,Master Set,Find all trading cards
Gold Trophies Guide,../Data/Images/trophy_images/Gold.jpg,Numismatist,Find all coins
Gold Trophies Guide,../Data/Images/trophy_images/Gold.jpg,Prepared For the Worst,Find all workbenches
Silver Trophies Guide,../Data/Images/trophy_images/Silver.jpg,Mechanist,Fully upgrade a weapon
Silver Trophies Guide,../Data/Images/trophy_images/Silver.jpg,Specialist,Learn all player upgrades in one branch
Silver Trophies Guide,../Data/Images/trophy_images/Silver.jpg,Safecracker,Unlock every safe
Silver Trophies Guide,../Data/Images/trophy_images/Silver.jpg,Sightseer,Visit every location in downtown Seattle
Silver Trophies Guide,../Data/Images/trophy_images/Silver.jpg,Journeyman,Find all training manuals
Silver Trophies Guide,../Data/Images/trophy_images/Silver.jpg,Survival Training,Learn 25 player upgrades
Silver Trophies Guide,../Data/Images/trophy_images/Silver.jpg,High Caliber,Find all weapons
Silver Trophies Guide,../Data/Images/trophy_images/Silver.jpg,In the Field,Find 12 workbenches
Bronze Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Tools of the Trade,Craft every item
Bronze Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Tinkerer,Upgrade a weapon
Bronze Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Apprentice,Learn a player upgrade
Bronze Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Starter Set,Find 5 trading cards
Bronze Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Mint Condition,Find 5 coins
Bronze Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Relic of the Sages,Find the Strange Artifact
Bronze Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,So Great and Small,Find the Engraved Ring
Hidden Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Looks Good On You,Put a hat on your companion
Hidden Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Sharpshooter,Win the marksmanship competition
Hidden Trophies Guide,../Data/Images/trophy_images/Bronze.jpg,Put My Name Up,Earn the high score in the archery game
