Weapon Name,Weapon URL,Basic Information,Best Upgrades,How to use,How to get,Weapon Category,Weapon Link,Weapon Icon URL,Description,Location
2x4,https://game8.co/games/Last-of-Us-2/archives/291364,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '3'}]",No upgrades for this weapon,"Pick up the 2x4 with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The 2x4 can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291364,https://img.game8.co/3254419/107ac51ea55aa390d18ec235203044dd.jpeg/show,Increases the power of your melee attacks.,Pick-up
Axe,https://game8.co/games/Last-of-Us-2/archives/291363,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '4'}]",No upgrades for this weapon,"Pick up the Axe with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The Axe can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291363,https://img.game8.co/3254420/10d479e106d874b85d641c017da95c1b.jpeg/show,Increases the power of your melee attacks.,Pick-up
Baton,https://game8.co/games/Last-of-Us-2/archives/291394,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '5'}]",No upgrades for this weapon,"Pick up the Baton with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The Baton can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291394,https://img.game8.co/3254719/4535a95f164707675ee6213eb6affa3d.jpeg/show,Increases the power of your melee attacks.,Pick-up
Bolt-Action Rifle,https://game8.co/games/Last-of-Us-2/archives/290736,"[{'Weapon': 'Long-range rifle with high damage and slow fire rate.'}, {'Weapon': 'Long Gun'}, {'Weapon': '6'}]","[{'Name': 'Stability', 'Parts': '50', 'Effect': 'Add weight to the stock to decrease weapon sway.+40% Stability'}, {'Name': 'Capacity', 'Parts': '50', 'Effect': 'Add a magazine to increase reload speed and hold more rounds.+3 Magazine Capacity+65% Reload Speed'}, {'Name': '6x Scope', 'Parts': '80', 'Effect': 'Add a scope to aim at distant targets with greater accuracy by pressing x.'}, {'Name': 'Damage', 'Parts': '100', 'Effect': 'Replace the barrel to fire more powerful shots.+25% Damage'}]","The rifle is a high damaging but very slow weapon, so generally you'll be using it from a distance to pick off foes. With its small magazine (default = 3), you should not really be trying to take out entire crowds with it. It is most effective against human enemies that won't try and rush you, or perhaps single enemies when you have a clean shot on them.
While the rifle can work at a medium range if there are not too many foes, you should normally just opt for the revolver instead, since it can hold more bullets, and it has a better fire rate.","The rifle is a high damaging but very slow weapon, so generally you'll be using it from a distance to pick off foes. With its small magazine (default = 3), you should not really be trying to take out entire crowds with it. It is most effective against human enemies that won't try and rush you, or perhaps single enemies when you have a clean shot on them.
While the rifle can work at a medium range if there are not too many foes, you should normally just opt for the revolver instead, since it can hold more bullets, and it has a better fire rate.",Long Guns,https://game8.co/games/Last-of-Us-2/archives/290736,https://img.game8.co/3252179/a9a804ab28bafba7908eec5c2b3fd1e5.jpeg/show,Long-range rifle with high damage and slow fire rate.,Obtained by default in Jackson - Waking Up.
Bottle,https://game8.co/games/Last-of-Us-2/archives/290791,"[{'Weapon': 'A throwable object that can be used to break glass or create a distraction. Only one item of this type can be held at a time.'}, {'Weapon': 'Throwable'}, {'Weapon': '1'}]",No upgrades for this weapon,"Bottles are generally used fordistracting or misdirecting infected and human enemies. They can be thrown on the ground to create noise or break glass windows to open up new routes. This can cause enemies to group up on that area where you can easily sneak by them or kill them all at once using the tools you crafted. However, if you are playing more aggressively, you can alsothrow them directly to the enemy's head and stun themfor a few seconds. Stunning them with a bottle will make them vulnerable to your grab and strike attacks.
Keep in mind that they canwork on hidden traps too!You can throw them on the tripwire or the claymore itself to trigger the traps without taking damage.","Bottles can sometimes be found lying around on the ground, so pick it up if you see one. Only one item of this type can be held at a time, so be sure and use them, or the other ones you see will go to waste!",Throwables,https://game8.co/games/Last-of-Us-2/archives/290791,https://img.game8.co/3252181/35908b2ea3a5d1890e5503bef23976d1.jpeg/show,A throwable object that can be used to break glass or create a distraction. Only one item of this type can be held at a time.,Pick up from ground.
Bow,https://game8.co/games/Last-of-Us-2/archives/290748,"[{'Weapon': 'Long-range bow with silent shots and slow draw speed.'}, {'Weapon': 'Long Gun'}, {'Weapon': '6'}]","[{'Name': 'Draw Speed', 'Parts': '50', 'Effect': 'Restring the bow to increase draw speed.+50% Nocking Speed+70% Draw Speed'}, {'Name': 'Stability', 'Parts': '60', 'Effect': 'Replace the grip to decrease weapon sway.+60% Stability'}, {'Name': 'Rangefinder', 'Parts': '80', 'Effect': 'Add a rangefinder to automatically mark the distance of enemies on the reticle.'}]","
The bow is similar to the rifle in that it is great for long ranged combat. However, the key difference is that the bow is silent, so it is much better when your enemies have not yet been alerted of your presence. If you are the type of player who prefers Stealth Kills and picking off enemies slowly and cautiously, the bow will be excellent for you.
You will still need to be smart though, only taking out enemies that are away from their allies, and not currently engaged in conversation. This can allow you to widdle down a group's numbers so that if they do find you, there will be way less enemies to take out.
For bows, landing headshots is vital for two reasons. The first one is the fact that a head shot is s guaranteed kill (However, even if you don't get a head shot, there is still a good chance you will take out human foes and runners in a single shot). The second one is the fact that landing a headshot gives you a chance to get the arrow back, allowing you to conserve ammo!
Unlike other weapons where you find ammo lying around, arrows can be crafted by using the following recipe (which is learned after obtaining the bow automatically):
Not surprisingly though, very slow draw speed and fire rate means that it is not good in close-ranged situations. When an enemy has already spotted you, or enemies are rushing at you, you'll definitely want to switch to something like the Shotgun or Pistol.","
The bow is similar to the rifle in that it is great for long ranged combat. However, the key difference is that the bow is silent, so it is much better when your enemies have not yet been alerted of your presence. If you are the type of player who prefers Stealth Kills and picking off enemies slowly and cautiously, the bow will be excellent for you.
You will still need to be smart though, only taking out enemies that are away from their allies, and not currently engaged in conversation. This can allow you to widdle down a group's numbers so that if they do find you, there will be way less enemies to take out.
For bows, landing headshots is vital for two reasons. The first one is the fact that a head shot is s guaranteed kill (However, even if you don't get a head shot, there is still a good chance you will take out human foes and runners in a single shot). The second one is the fact that landing a headshot gives you a chance to get the arrow back, allowing you to conserve ammo!
Unlike other weapons where you find ammo lying around, arrows can be crafted by using the following recipe (which is learned after obtaining the bow automatically):
Not surprisingly though, very slow draw speed and fire rate means that it is not good in close-ranged situations. When an enemy has already spotted you, or enemies are rushing at you, you'll definitely want to switch to something like the Shotgun or Pistol.",Long Guns,https://game8.co/games/Last-of-Us-2/archives/290748,https://img.game8.co/3252283/ecff78119d83ff96c54ccb5002468470.jpeg/show,Long-range bow with silent shots and slow draw speed.,Obtain automatically in Seattle Day 2 - Hillcrest.
Brick,https://game8.co/games/Last-of-Us-2/archives/290792,"[{'Weapon': 'A throwable object that can be used to break glass or create a distraction. Only one item of this type can be held at a time.'}, {'Weapon': 'Throwable'}, {'Weapon': '1'}]",No upgrades for this weapon,"Bricks are generally used fordistracting or misdirecting infected and human enemies.They can be thrown on the ground to create noise or break glass windows to open up new routes. This can cause enemies to group up on that area where you can easily sneak by them or kill them all at once using the tools you crafted. However, if you are playing more aggressively, you can alsothrow them directly to the enemy's head and stun themfor a few seconds. Stunning them with a brick will make them vulnerable to your grab and strike attacks.
Keep in mind that they canwork on hidden traps too!You can throw them on the tripwire or the claymore itself to trigger the traps without taking damage.","Bricks can sometimes be found lying around on the ground, so pick it up if you see one. Only one item of this type can be held at a time, so be sure and use them, or the other ones you see will go to waste!",Throwables,https://game8.co/games/Last-of-Us-2/archives/290792,https://img.game8.co/3252609/228771a08a22e89536d216602fbe4a1c.jpeg/show,A throwable object that can be used to break glass or create a distraction. Only one item of this type can be held at a time.,Pick up from ground.
Club,https://game8.co/games/Last-of-Us-2/archives/291359,"[{'Weapon': 'Increases the power of your melee attacks.'}, {'Weapon': 'Melee'}, {'Weapon': '1'}, {'Weapon': '4'}]",No upgrades for this weapon,"Pick up the Club with △ and use it by pressing □ to attack nearby enemies. The durability will be displayed below the weapon icon at the bottom right, and it will decrease by one each time it is used to attack enemies.
How to Use Melee Weapons","The Club can be picked up from various areas, such as from the ground or on tables. They are also sometimes dropped by enemies when defeated.",Melee / Other,https://game8.co/games/Last-of-Us-2/archives/291359,https://img.game8.co/3254425/545e72d3b88d197ae08c698061cac661.jpeg/show,Increases the power of your melee attacks.,Pick-up
Crossbow,https://game8.co/games/Last-of-Us-2/archives/290799,"[{'Weapon': 'Long-range crossbow with silent shots and slow reload speed.'}, {'Weapon': 'Long Gun'}, {'Weapon': '1'}]","[{'Name': 'Stability', 'Parts': '50', 'Effect': 'Attach a foregrip to increase stability.+55% Stability'}, {'Name': '4x Scope', 'Parts': '60', 'Effect': 'Add a scope to aim at distant targets with greater accuracy pressing X'}, {'Name': 'Reload Speed', 'Parts': '80', 'Effect': 'Store arrows in a quiver  increase reload speed.+55% Reload Speed'}]","Crossbows are extremely powerful and can one-shot most enemies if aimed at the head. Use the Crossbow in mid to long-range combat, especially if you are still hidden. Crossbows are silent and they won't attract enemy attention when fired. Use this to your advantage to pick off enemies at a distance without getting seen.
Also, landing your arrows at the head guarantees that the arrow won't break after being shot. This will allow you to conserve your ammo by picking them up after taking out an enemy.","Crossbows are extremely powerful and can one-shot most enemies if aimed at the head. Use the Crossbow in mid to long-range combat, especially if you are still hidden. Crossbows are silent and they won't attract enemy attention when fired. Use this to your advantage to pick off enemies at a distance without getting seen.
Also, landing your arrows at the head guarantees that the arrow won't break after being shot. This will allow you to conserve your ammo by picking them up after taking out an enemy.",Long Guns,https://game8.co/games/Last-of-Us-2/archives/290799,https://img.game8.co/3252558/d172b3f23c5376eb26528b2fd9a649d5.jpeg/show,Long-range crossbow with silent shots and slow reload speed.,"Seattle Day 1 - The Coast (Boat, next to dead body)"
Double Barrel Shotgun,https://game8.co/games/Last-of-Us-2/archives/290798,"[{'Weapon': 'Mid-range shotgun with high damage and slow reload speed.'}, {'Weapon': 'Long Gun'}, {'Weapon': '2'}]","[{'Name': 'Stability', 'Parts': '30', 'Effect': 'Add weight to the stock to decrease weapon sway.-35% Recoil+50% Stability'}, {'Name': 'Reload Speed', 'Parts': '40', 'Effect': 'Store shotgun shells in bullet loops on the stock to increase reload speed.+35% Reload Speed'}, {'Name': 'Damage', 'Parts': '60', 'Effect': 'Replace the barrel to fire more powerful shots.+30% Damage'}]","The Double Barrel Shotguncan deal massive damage on close-range fights, especially if you are against the tougher enemies like theShamblerorBloaters. Using the Double Barrel Shotgun against them will help you take them out faster when fired at point-blank, or when used with theIncendciary Shellsfrom the Firearms Skill Branch.
List of Skill Branches
Also, if you find yourself in situations where the enemies have you surrounded, it is a good idea to use the Double Barrel Shotgun because of its powerful piercing shots and large spread, whichcan take down multiple enemies at once.","The Double Barrel Shotguncan deal massive damage on close-range fights, especially if you are against the tougher enemies like theShamblerorBloaters. Using the Double Barrel Shotgun against them will help you take them out faster when fired at point-blank, or when used with theIncendciary Shellsfrom the Firearms Skill Branch.
List of Skill Branches
Also, if you find yourself in situations where the enemies have you surrounded, it is a good idea to use the Double Barrel Shotgun because of its powerful piercing shots and large spread, whichcan take down multiple enemies at once.",Long Guns,https://game8.co/games/Last-of-Us-2/archives/290798,https://img.game8.co/3252557/6c8a8b480b492f0a3d28627d414bc0ec.jpeg/show,Mid-range shotgun with high damage and slow reload speed.,Seattle Day 1 - Hostile Territory (Shop with Chinese Vase)
