Weapon Name,Weapon URL,Basic Information,Best Upgrades,How to use,How to get
Semi-Auto Pistol,https://game8.co/games/Last-of-Us-2/archives/290734,"[{'Weapon': 'Short-range handgun with high fire rate and moderate accuracy.'}, {'Weapon': 'Handgun'}, {'Weapon': '6'}]","[{'Name': 'Fire Rate', 'Parts': '40', 'Effect': 'Replace the hammer spring to increase fire rate.+45% Fire Rate'}, {'Name': 'Stability', 'Parts': '50', 'Effect': 'Replace the pistol grip to decrease weapon sway.+35% Stability'}, {'Name': 'Recoil', 'Parts': '30', 'Effect': 'Attach a compensator to decrease weapon recoil.+25% Accuracy-35% Recoil'}, {'Name': 'Capacity', 'Parts': '50', 'Effect': 'Craft an extended magazine to hold more rounds.+4 Magazine Capacity'}]","The semi-auto pistol is the most basic gun in your arsenal, and the first one you will learn to use. Due to its high fire rate, it is great in scenarios where enemies like runners are rushing toward you. It will not deal as much damage as some of the other weapons, so landing headshots is extremely important, as it will take several shots to take down foes with it otherwise.
This pistol is really best made use of at short range, so in smaller spaces when accuracy is less of an issue. One trick for conserving ammo, which will work against most enemies is to shoot them in the leg to stun them, and then run in to follow up with a melee attack than can finish them off. Clickers will be hard to take down with this gun alone, so a shot in the head or legs to stun them is the best tactic to deal with them.
When dealing with several enemies at once, such as runners, make sure to stay moving. Although the weapon is great for close range crowd control due to its quick fire rate, you don't want to get surrounded with no ammo in the clip, so place your shots carefully.","The semi-auto pistol is the most basic gun in your arsenal, and the first one you will learn to use. Due to its high fire rate, it is great in scenarios where enemies like runners are rushing toward you. It will not deal as much damage as some of the other weapons, so landing headshots is extremely important, as it will take several shots to take down foes with it otherwise.
This pistol is really best made use of at short range, so in smaller spaces when accuracy is less of an issue. One trick for conserving ammo, which will work against most enemies is to shoot them in the leg to stun them, and then run in to follow up with a melee attack than can finish them off. Clickers will be hard to take down with this gun alone, so a shot in the head or legs to stun them is the best tactic to deal with them.
When dealing with several enemies at once, such as runners, make sure to stay moving. Although the weapon is great for close range crowd control due to its quick fire rate, you don't want to get surrounded with no ammo in the clip, so place your shots carefully."
Revolver,https://game8.co/games/Last-of-Us-2/archives/290733,"[{'Weapon': 'Mid-range revolver with moderate damage and slow reload speed.'}, {'Weapon': 'Handgun'}, {'Weapon': '3'}]","[{'Name': 'Fire Rate', 'Parts': '30', 'Effect': 'Replace the hammer spring to increase firing rate.+35% Fire Rate'}, {'Name': 'Stability', 'Parts': '50', 'Effect': 'Replace the revolver grip to reduce recoil and decrease weapon sway.-25% Recoil+35% Stability'}, {'Name': 'Reload Speed', 'Parts': '50', 'Effect': 'Use a speed loader to load rounds all at once instead of individually.+85% Reload Speed'}, {'Name': 'Damage', 'Parts': '70', 'Effect': 'Replace the barrel to fire more powerful shots.+40% Damage+25% Accuracy'}]","While headshots are important for any gun you use, this is especially true for the revolver, due to its low fire rate. However, this gun does pack a punch, and after upgrading the damage output, it can usually one-shot runners and hunters, even if you do not shoot them in the head.
Generally, it is good for smaller crowds, and since it is more accurate than the pistol, it is better at a medium range. It is very effective on human foes, since they are less likely to rush at you, and as mentioned above, they can be one-shotted even without head shots. For battling hordes of charging runners, the pistol will usually be a safer option due to its quicker fire rate.","While headshots are important for any gun you use, this is especially true for the revolver, due to its low fire rate. However, this gun does pack a punch, and after upgrading the damage output, it can usually one-shot runners and hunters, even if you do not shoot them in the head.
Generally, it is good for smaller crowds, and since it is more accurate than the pistol, it is better at a medium range. It is very effective on human foes, since they are less likely to rush at you, and as mentioned above, they can be one-shotted even without head shots. For battling hordes of charging runners, the pistol will usually be a safer option due to its quicker fire rate."
Military Pistol,https://game8.co/games/Last-of-Us-2/archives/290786,"[{'Weapon': 'Short-range handgun with high fire rate and moderate accuracy.'}, {'Weapon': 'Handgun'}, {'Weapon': '6'}]","[{'Name': 'Fire Rate', 'Parts': '40', 'Effect': 'Replace the hammer spring to increase fire rate.+50% Fire Rate'}, {'Name': 'Stability', 'Parts': '50', 'Effect': 'Replace the pistol grip to decrease weapon sway.+35% Stability'}, {'Name': 'Recoil', 'Parts': '30', 'Effect': 'Attach a compensator to reduce weapon recoil.+25% Accuracy-35% Recoil'}, {'Name': 'Capacity', 'Parts': '50', 'Effect': 'Craft an extended magazine to hold more rounds.+4 Magazine Capacity'}]","The military pistol is pretty much the same as thesemi-auto pistol, so its usage is basically the same. Due to its high fire rate, it is great in scenarios where enemies like runners are rushing toward you. It will not deal as much damage as some of the other weapons, so landing headshots is extremely important, as it will take several shots to take down foes with it otherwise.
This pistol is really best made use of at short range, so in smaller spaces when accuracy is less of an issue. One trick for conserving ammo, which will work against most enemies is to shoot them in the leg to stun them, and then run in to follow up with a melee attack than can finish them off. Clickers will be hard to take down with this gun alone, so a shot in the head or legs to stun them is the best tactic to deal with them.
When dealing with several enemies at once, such as runners, make sure to stay moving. Although the weapon is great for close range crowd control due to its quick fire rate, you don't want to get surrounded with no ammo in the clip, so place your shots carefully.","The military pistol is pretty much the same as thesemi-auto pistol, so its usage is basically the same. Due to its high fire rate, it is great in scenarios where enemies like runners are rushing toward you. It will not deal as much damage as some of the other weapons, so landing headshots is extremely important, as it will take several shots to take down foes with it otherwise.
This pistol is really best made use of at short range, so in smaller spaces when accuracy is less of an issue. One trick for conserving ammo, which will work against most enemies is to shoot them in the leg to stun them, and then run in to follow up with a melee attack than can finish them off. Clickers will be hard to take down with this gun alone, so a shot in the head or legs to stun them is the best tactic to deal with them.
When dealing with several enemies at once, such as runners, make sure to stay moving. Although the weapon is great for close range crowd control due to its quick fire rate, you don't want to get surrounded with no ammo in the clip, so place your shots carefully."
Hunting Pistol,https://game8.co/games/Last-of-Us-2/archives/290797,"[{'Weapon': 'Long-range handgun with high damage and slow reload speed.'}, {'Weapon': 'Handgun'}, {'Weapon': '1'}]","[{'Name': 'Stability', 'Parts': '50', 'Effect': 'Replace the pistol grip to decrease weapon sway.+25% Accuracy+35% Stability'}, {'Name': '4x Scope', 'Parts': '60', 'Effect': 'Add a scope to aim at distant targets with greater accuracy pressing X'}, {'Name': 'Damage', 'Parts': '80', 'Effect': 'Replace the barrel to fire more powerful shots.+25% Damage'}]","Similar to theRevolver, the Hunting Pistol has a slow fire rate, and creates an extremely loud sound when used. However, its powerful damage makes up for these drawbacks. The Hunting Pistol packs a strong punch with every shot, especially in mid to close-range fights.
The Hunting Pistol is best used when taking out solo targets because of its exceptional damage. Because of this, it can take out most enemies with one shot, even without aiming at their weak points.","Similar to theRevolver, the Hunting Pistol has a slow fire rate, and creates an extremely loud sound when used. However, its powerful damage makes up for these drawbacks. The Hunting Pistol packs a strong punch with every shot, especially in mid to close-range fights.
The Hunting Pistol is best used when taking out solo targets because of its exceptional damage. Because of this, it can take out most enemies with one shot, even without aiming at their weak points."
Bolt-Action Rifle,https://game8.co/games/Last-of-Us-2/archives/290736,"[{'Weapon': 'Long-range rifle with high damage and slow fire rate.'}, {'Weapon': 'Long Gun'}, {'Weapon': '6'}]","[{'Name': 'Stability', 'Parts': '50', 'Effect': 'Add weight to the stock to decrease weapon sway.+40% Stability'}, {'Name': 'Capacity', 'Parts': '50', 'Effect': 'Add a magazine to increase reload speed and hold more rounds.+3 Magazine Capacity+65% Reload Speed'}, {'Name': '6x Scope', 'Parts': '80', 'Effect': 'Add a scope to aim at distant targets with greater accuracy by pressing x.'}, {'Name': 'Damage', 'Parts': '100', 'Effect': 'Replace the barrel to fire more powerful shots.+25% Damage'}]","The rifle is a high damaging but very slow weapon, so generally you'll be using it from a distance to pick off foes. With its small magazine (default = 3), you should not really be trying to take out entire crowds with it. It is most effective against human enemies that won't try and rush you, or perhaps single enemies when you have a clean shot on them.
While the rifle can work at a medium range if there are not too many foes, you should normally just opt for the revolver instead, since it can hold more bullets, and it has a better fire rate.","The rifle is a high damaging but very slow weapon, so generally you'll be using it from a distance to pick off foes. With its small magazine (default = 3), you should not really be trying to take out entire crowds with it. It is most effective against human enemies that won't try and rush you, or perhaps single enemies when you have a clean shot on them.
While the rifle can work at a medium range if there are not too many foes, you should normally just opt for the revolver instead, since it can hold more bullets, and it has a better fire rate."
Pump Shotgun,https://game8.co/games/Last-of-Us-2/archives/290740,"[{'Weapon': 'Close-range shotgun with high damage and slow reload speed.'}, {'Weapon': 'Long Gun'}, {'Weapon': '4'}]","[{'Name': 'Fire Rate', 'Parts': '40', 'Effect': 'Replace the springs and extractor to increase fire rate.+55% Fire Rate'}, {'Name': 'Stability', 'Parts': '40', 'Effect': 'Replace the grip to reduce coil and decrease weapon sway.-40% Recoil+35% Stability'}, {'Name': 'Capacity', 'Parts': '50', 'Effect': 'Extend the magazine tube to increase shell capacity.+2 Magazine Capacity'}]","As mentioned above, the pump shotgun is a high powered close range gun. It sacrifices accuracy for the ability to spread over a wide range, which means it can hit multiple enemies that are up close and bunched up together.
This weapon is good against pretty much any enemy at close range. Runners are guaranteed to fall, and it is super effective against human enemies too. Clickers have larger health pools, so they may not die when hit, but they will almost always be stunned, allowing you to run in and hit them with a melee attack.","As mentioned above, the pump shotgun is a high powered close range gun. It sacrifices accuracy for the ability to spread over a wide range, which means it can hit multiple enemies that are up close and bunched up together.
This weapon is good against pretty much any enemy at close range. Runners are guaranteed to fall, and it is super effective against human enemies too. Clickers have larger health pools, so they may not die when hit, but they will almost always be stunned, allowing you to run in and hit them with a melee attack."
Bow,https://game8.co/games/Last-of-Us-2/archives/290748,"[{'Weapon': 'Long-range bow with silent shots and slow draw speed.'}, {'Weapon': 'Long Gun'}, {'Weapon': '6'}]","[{'Name': 'Draw Speed', 'Parts': '50', 'Effect': 'Restring the bow to increase draw speed.+50% Nocking Speed+70% Draw Speed'}, {'Name': 'Stability', 'Parts': '60', 'Effect': 'Replace the grip to decrease weapon sway.+60% Stability'}, {'Name': 'Rangefinder', 'Parts': '80', 'Effect': 'Add a rangefinder to automatically mark the distance of enemies on the reticle.'}]","
The bow is similar to the rifle in that it is great for long ranged combat. However, the key difference is that the bow is silent, so it is much better when your enemies have not yet been alerted of your presence. If you are the type of player who prefers Stealth Kills and picking off enemies slowly and cautiously, the bow will be excellent for you.
You will still need to be smart though, only taking out enemies that are away from their allies, and not currently engaged in conversation. This can allow you to widdle down a group's numbers so that if they do find you, there will be way less enemies to take out.
For bows, landing headshots is vital for two reasons. The first one is the fact that a head shot is s guaranteed kill (However, even if you don't get a head shot, there is still a good chance you will take out human foes and runners in a single shot). The second one is the fact that landing a headshot gives you a chance to get the arrow back, allowing you to conserve ammo!
Unlike other weapons where you find ammo lying around, arrows can be crafted by using the following recipe (which is learned after obtaining the bow automatically):
Not surprisingly though, very slow draw speed and fire rate means that it is not good in close-ranged situations. When an enemy has already spotted you, or enemies are rushing at you, you'll definitely want to switch to something like the Shotgun or Pistol.","
The bow is similar to the rifle in that it is great for long ranged combat. However, the key difference is that the bow is silent, so it is much better when your enemies have not yet been alerted of your presence. If you are the type of player who prefers Stealth Kills and picking off enemies slowly and cautiously, the bow will be excellent for you.
You will still need to be smart though, only taking out enemies that are away from their allies, and not currently engaged in conversation. This can allow you to widdle down a group's numbers so that if they do find you, there will be way less enemies to take out.
For bows, landing headshots is vital for two reasons. The first one is the fact that a head shot is s guaranteed kill (However, even if you don't get a head shot, there is still a good chance you will take out human foes and runners in a single shot). The second one is the fact that landing a headshot gives you a chance to get the arrow back, allowing you to conserve ammo!
Unlike other weapons where you find ammo lying around, arrows can be crafted by using the following recipe (which is learned after obtaining the bow automatically):
Not surprisingly though, very slow draw speed and fire rate means that it is not good in close-ranged situations. When an enemy has already spotted you, or enemies are rushing at you, you'll definitely want to switch to something like the Shotgun or Pistol."
Semi-Auto Rifle,https://game8.co/games/Last-of-Us-2/archives/290787,"[{'Weapon': 'Mid-range rifle with high fire rate and moderate accuracy.'}, {'Weapon': 'Long Gun'}, {'Weapon': '9'}]","[{'Name': 'Stability', 'Parts': '50', 'Effect': 'Add weight to the stock to decrease weapon sway.+35% Stability'}, {'Name': 'Capacity', 'Parts': '60', 'Effect': 'Extend the magazine to hold more rounds.+3 Magazine Capacity'}, {'Name': '4x Scope', 'Parts': '80', 'Effect': 'Add a scope to aim at distant targets with greater accuracy by pressing x.'}, {'Name': 'Burst Fire', 'Parts': '80', 'Effect': 'Modify the trigger to allow for a three-round burst that can be toggled on and off with △.+50% Fire Rate'}]","Similar to the Bolt-Action Rifle, the Semi-Auto Rifle is a high damaging long-range rifle, but with a better fire rate and a higher ammo capacity. It works well in mid to long-range combat, and can one-shot most enemies if you aim for the head. The Semi-Auto Rifle works well on any type of enemy, both infected and human because of its high damage and amazing fire rate. The only downside of this weapon is its loud firing sound.
The loud firing sound of your shots can give away your position, so use it on situations where you have a clear view of the incoming enemies. This way you can pick them off before they can even get close enough to attack you.","Similar to the Bolt-Action Rifle, the Semi-Auto Rifle is a high damaging long-range rifle, but with a better fire rate and a higher ammo capacity. It works well in mid to long-range combat, and can one-shot most enemies if you aim for the head. The Semi-Auto Rifle works well on any type of enemy, both infected and human because of its high damage and amazing fire rate. The only downside of this weapon is its loud firing sound.
The loud firing sound of your shots can give away your position, so use it on situations where you have a clear view of the incoming enemies. This way you can pick them off before they can even get close enough to attack you."
Double Barrel Shotgun,https://game8.co/games/Last-of-Us-2/archives/290798,"[{'Weapon': 'Mid-range shotgun with high damage and slow reload speed.'}, {'Weapon': 'Long Gun'}, {'Weapon': '2'}]","[{'Name': 'Stability', 'Parts': '30', 'Effect': 'Add weight to the stock to decrease weapon sway.-35% Recoil+50% Stability'}, {'Name': 'Reload Speed', 'Parts': '40', 'Effect': 'Store shotgun shells in bullet loops on the stock to increase reload speed.+35% Reload Speed'}, {'Name': 'Damage', 'Parts': '60', 'Effect': 'Replace the barrel to fire more powerful shots.+30% Damage'}]","The Double Barrel Shotguncan deal massive damage on close-range fights, especially if you are against the tougher enemies like theShamblerorBloaters. Using the Double Barrel Shotgun against them will help you take them out faster when fired at point-blank, or when used with theIncendciary Shellsfrom the Firearms Skill Branch.
List of Skill Branches
Also, if you find yourself in situations where the enemies have you surrounded, it is a good idea to use the Double Barrel Shotgun because of its powerful piercing shots and large spread, whichcan take down multiple enemies at once.","The Double Barrel Shotguncan deal massive damage on close-range fights, especially if you are against the tougher enemies like theShamblerorBloaters. Using the Double Barrel Shotgun against them will help you take them out faster when fired at point-blank, or when used with theIncendciary Shellsfrom the Firearms Skill Branch.
List of Skill Branches
Also, if you find yourself in situations where the enemies have you surrounded, it is a good idea to use the Double Barrel Shotgun because of its powerful piercing shots and large spread, whichcan take down multiple enemies at once."
Crossbow,https://game8.co/games/Last-of-Us-2/archives/290799,"[{'Weapon': 'Long-range crossbow with silent shots and slow reload speed.'}, {'Weapon': 'Long Gun'}, {'Weapon': '1'}]","[{'Name': 'Stability', 'Parts': '50', 'Effect': 'Attach a foregrip to increase stability.+55% Stability'}, {'Name': '4x Scope', 'Parts': '60', 'Effect': 'Add a scope to aim at distant targets with greater accuracy pressing X'}, {'Name': 'Reload Speed', 'Parts': '80', 'Effect': 'Store arrows in a quiver  increase reload speed.+55% Reload Speed'}]","Crossbows are extremely powerful and can one-shot most enemies if aimed at the head. Use the Crossbow in mid to long-range combat, especially if you are still hidden. Crossbows are silent and they won't attract enemy attention when fired. Use this to your advantage to pick off enemies at a distance without getting seen.
Also, landing your arrows at the head guarantees that the arrow won't break after being shot. This will allow you to conserve your ammo by picking them up after taking out an enemy.","Crossbows are extremely powerful and can one-shot most enemies if aimed at the head. Use the Crossbow in mid to long-range combat, especially if you are still hidden. Crossbows are silent and they won't attract enemy attention when fired. Use this to your advantage to pick off enemies at a distance without getting seen.
Also, landing your arrows at the head guarantees that the arrow won't break after being shot. This will allow you to conserve your ammo by picking them up after taking out an enemy."
