Chapter Name,Sub-chapter Name,Sub-chapter URL,Walkthrough Text
Chapter 1: Jackson,Jackson - Prologue Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290664,"Follow tommy all the way to town, and play the guitar after the cutscene."
Chapter 1: Jackson,Jackson - Waking Up Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290702,"Follow jesse, and follow jesse and maria.
have a snowball fight with the kids., and follow dina.
get your horse."
Chapter 1: Jackson,Jackson - The Overlook Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290703,"Follow owen, and after you and owen split up, continue forward
you will come across several of frozen infected. fight all of the infected, remembering to dodge each attack., and after fighting the infected you will come across an abandoned house.
once you enter the house, look for a space in the floor next to the fridge.you will need to go prone to enter., and an infected will crawl to you from the front. aim and shoot it before he reaches you.
squeeze through the busted window next to the grill., and you will see another runner that has not spotted you. use listen mode and sneak behind it to preform a stealth kill.
head downstairs and you will fight 2 more runners., and exit the house through the garage and climb over the large wooden fence.
you will see 5 runners roaming this area. sneak by or kill them., and advance by crawling under the truck, and sqeeze through the trailer and car."
Chapter 1: Jackson,Jackson - Patrol Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290704,"Follow dina, and after getting off your horse, follow and talk to dina.
after talking to dina, follow her into the next room and talk to her again., and follow dina to the horses, untie your horse, and follow her on horseback till you get to townyou can search this area for supplies.
after finding the dead moose, you must search for infected to clear out., and enter the building closest to the moose and you will find one runner.you can enter the locked door by jumping out of the broken window.
squeeze through the door to get to the next area, and after you squeeze through the door a runner will charge at you. you will need to quick throw a bottle to stun it before striking it down.
climb out of the room and kill the several infected in the area., and dina will help you get over a delivery tuck to get to the next area.
use the semi-truck to climb into the next buidling., and after entering the building you can enter a door to an area filled with sporse. squeeze through the space in the wall next to the bookshelf and filling cabinets
after ellie falls through the floor, you must stealth kill 2 clickers., and climb out of the small window in the pharmacy and fight 2 clickers and several runners.
use a cable to throw over the airduct and climb out of the super market, and follow dana through the snow storm
the office door will be locked. use a bottle to break the window to enter., and turn on the generator.
move the bookshelf to find a hidden basement., and pick up the jar of joints"
Chapter 1: Jackson,Jackson - The Horde Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290705,"Run away from the horde of infected, and follow joel and tommy and help them fight infected.you won't have a lot of ammo, so, use pipes and crowbars to quickly kill infected.
help tommy push the gondola on to the trailer., and help joel protect tommy from infected while he pushes the gondola.**be careful of clickers. you cannot melee attack them barehanded.
climb the gondola to exit the ski resort., and follow joel and tommy while running from infected."
Chapter 1: Jackson,Jackson - The Chalet Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290706,"Follow the path to the mansion, and head downstairs toward the sounds of pain."
Chapter 1: Jackson,Jackson - Packing Up Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290707,"Follow dina out of the cemetery, and go into the house and find the box on the bed upstairs.
head back downstairs."
Chapter 2: Seattle Day 1,Seattle Day 1 - The Gate Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290709,"Ride through the forest until you reach the seattle front gate with the wlf warning on it, and head to the left side of the area and climb the 2nd fedra mobile unit to get up.
jump around the roof, then have dina boost you up to the ladder., and cross to the other side of the wall to get inside.
use the ladder to climb down., and the generator will be on the other side of the fedra mobile unit. use a bottle or melee attack to smash the windows and jump through.
after opening the small gate, unplug the cord line and throw it over the other fence, to reach the other power outlet., and input the password 0-5-1-2 to open the main gate."
Chapter 2: Seattle Day 1,Seattle Day 1 - Downtown Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290710,"Continue moving towards the serevena hotel, and find the generator by following the yellow power line.
based on the artifact that you pick up, the gas is available at the courtroom garage or the dome., and enter the open gate with the fuel distribution sign on it.
move forward until you reach the locked gate, then squeeze through it to enter., and you will encounter 2 runners on the area. deal with them, then go over the wooden wall to proceed.
on this area, you will encounter 2 clickers and 2 runners. you can go prone to silently get past them., and head up through the scaffholdings to get inside the dome.
after spotting the gas from the other side of the metal bars, squeeze through the broken metal wall and use the trolley as boost to get the gas container., and head to the courtroom garage.
use the trolley again to boost yourself up to the other side of the courtroom., and dina will find a rope. swing yourself to jump to the other side.
exit through the broken window and go to the courtoom garage., and head to the right side of the courthouse and climb up the ladder.
open the window to get inside., and you will encounter 2 clickers and 3 runners right after you get inside.
at the end of the hallway, open the double door with the help of dina., and head downstairs and you wil find a locked room. smash the windows to get in and open the safe.
use the rope at the elevator to go down., and after opening the elevator you will encounter 5 runners and 2 clickers.
fill up your gas container., and use the chain to open up the garage doors.
go back to the fedra gate and turn on the generator., and input the code5-3-4-5to open the gate.
move forward the serevana hotel., and you will spot an infected. hop on the fence to get inside.
inside the lobby you will encounter 5 runners., and head upstairs and check one of the rooms until you encounter a tortured person, where a cutscene will trigger.
exit the hotel and go to your horse., and go to gate east 1 and turn on the generator. dina will input the code to open the gate.
continue moving forward up to the bridge and another cutscence will trigger."
Chapter 2: Seattle Day 1,Seattle Day 1 - Eastbrook Elementary Walkthrough,https://game8.co/games/Last-of-Us-2/archives/290711,"Escape from being tied up and rescue dina, and fight off the 2 wlf members and head towards the double doors.
moving forward in the hallway, you will encounter more wlf members., and at the open area with tall grass, go up the roof to escape.
on the other end of the roof, get inside the door., and inside the room, get on one of the tables and force your way upon the rusted window.
jump over to the other side of the building., and continue moving forward through the rooms until you see an open space to get on the street.
head towards the street and into one of the open houses."
